Date;MilkingAmount
31.01.2018;1349071.948
28.02.2018;1360034.563
31.03.2018;1378103.866
30.04.2018;1367586.106
31.05.2018;1362227.461
30.06.2018;1478269.177
31.07.2018;1494187.829
31.08.2018;1508293.816
30.09.2018;1349548.985
31.10.2018;1333283.193
30.11.2018;1432040.179
31.12.2018;1405385.237
31.01.2019;1428181.337
28.02.2019;1478193.343
31.03.2019;1464453.97
30.04.2019;1441538.641
31.05.2019;1466067.771
30.06.2019;1576277.591
31.07.2019;1609201.383
31.08.2019;1621826.903
30.09.2019;1425552.721
31.10.2019;1425218.839
30.11.2019;1525717.367
31.12.2019;1490337.151
31.01.2020;1435195.668163
29.02.2020;1462969.873197
31.03.2020;1443585.89971
30.04.2020;1415369.088657
31.05.2020;1449423.554312
30.06.2020;1568857.185725
31.07.2020;1592184.763623
31.08.2020;1596655.631118
30.09.2020;1418455.695948
31.10.2020;1432609.181989
30.11.2020;1504228.790031
31.12.2020;1488952.473553
31.01.2021;1458909.345166
28.02.2021;1497586.553489
31.03.2021;1473791.44458
30.04.2021;1443177.75901
31.05.2021;1474948.941037
30.06.2021;1588098.837247
31.07.2021;1617391.510449
31.08.2021;1631564.877852
30.09.2021;1442140.785124
31.10.2021;1467251.271486
30.11.2021;1528218.623373
31.12.2021;1523284.10754
31.01.2022;1415161.728561
28.02.2022;1458635.632604
31.03.2022;1433640.893296
30.04.2022;1410819.674688
31.05.2022;1442831.267566
30.06.2022;1563902.072877
31.07.2022;1582258.872989
31.08.2022;1588272.323637
30.09.2022;1404979.186271
31.10.2022;1429093.570955
