Date;Year;Month;MilkingAmount
31.01.2018;2018;1;941883.7765
28.02.2018;2018;2;992991.9901
31.03.2018;2018;3;1090738.176
30.04.2018;2018;4;1050244.362
31.05.2018;2018;5;1009508.826
30.06.2018;2018;6;1183932.306
31.07.2018;2018;7;1188924.015
31.08.2018;2018;8;1291362.795
30.09.2018;2018;9;1204515.059
31.10.2018;2018;10;1197345.457
30.11.2018;2018;11;1259465.323
31.12.2018;2018;12;1195831.816
31.01.2019;2019;1;1014133.427
28.02.2019;2019;2;1056465.286
31.03.2019;2019;3;1113351.405
30.04.2019;2019;4;1021245.155
31.05.2019;2019;5;1049017.908
30.06.2019;2019;6;1231844.808
31.07.2019;2019;7;1245377.234
31.08.2019;2019;8;1275226.228
30.09.2019;2019;9;1217631.739
31.10.2019;2019;10;1166744.282
30.11.2019;2019;11;1267692.012
31.12.2019;2019;12;1181205.835
31.01.2020;2020;1;990922.1637
29.02.2020;2020;2;1006625.563
31.03.2020;2020;3;1132085.823
30.04.2020;2020;4;1008519.867
31.05.2020;2020;5;1086885.525
30.06.2020;2020;6;1234310.296
31.07.2020;2020;7;1206923.848
31.08.2020;2020;8;1318030.813
30.09.2020;2020;9;1253304.145
31.10.2020;2020;10;1218392.896
30.11.2020;2020;11;1226774.91
31.12.2020;2020;12;1192676.92
31.01.2021;2021;1;1049310.888
28.02.2021;2021;2;1076066.138
31.03.2021;2021;3;1123529.185
30.04.2021;2021;4;1046637.464
31.05.2021;2021;5;1109862.304
30.06.2021;2021;6;1296536.801
31.07.2021;2021;7;1235088.943
31.08.2021;2021;8;1307478.557
30.09.2021;2021;9;1282666.265
31.10.2021;2021;10;1255334.207
30.11.2021;2021;11;1262236.362
31.12.2021;2021;12;1216514.569
31.01.2022;2022;1;1081883.377
28.02.2022;2022;2;1053598.455
31.03.2022;2022;3;1120883.931
30.04.2022;2022;4;1068945.796
31.05.2022;2022;5;1142511.815
30.06.2022;2022;6;1320307.671
31.07.2022;2022;7;1268324.177
31.08.2022;2022;8;1373233.106
30.09.2022;2022;9;1303661.03
31.10.2022;2022;10;1252761.248
